split,sample_id,view,label,source_path,output_path,camera_adjusted,method,target_vp_pitch_proxy,target_structure_bbox_h
train,TRAIN_0001,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0001/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0001/front.png,False,copy,,
train,TRAIN_0001,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0001/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0001/top.png,False,copy,,
train,TRAIN_0002,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0002/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0002/front.png,False,copy,,
train,TRAIN_0002,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0002/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0002/top.png,False,copy,,
train,TRAIN_0003,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0003/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0003/front.png,False,copy,,
train,TRAIN_0003,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0003/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0003/top.png,False,copy,,
train,TRAIN_0004,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0004/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0004/front.png,False,copy,,
train,TRAIN_0004,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0004/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0004/top.png,False,copy,,
train,TRAIN_0005,front,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0005/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0005/front.png,False,copy,,
train,TRAIN_0005,top,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0005/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0005/top.png,False,copy,,
train,TRAIN_0006,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0006/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0006/front.png,False,copy,,
train,TRAIN_0006,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0006/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0006/top.png,False,copy,,
train,TRAIN_0007,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0007/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0007/front.png,False,copy,,
train,TRAIN_0007,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0007/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0007/top.png,False,copy,,
train,TRAIN_0008,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0008/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0008/front.png,False,copy,,
train,TRAIN_0008,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0008/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0008/top.png,False,copy,,
train,TRAIN_0009,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0009/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0009/front.png,False,copy,,
train,TRAIN_0009,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0009/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0009/top.png,False,copy,,
train,TRAIN_0010,front,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0010/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0010/front.png,False,copy,,
train,TRAIN_0010,top,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0010/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0010/top.png,False,copy,,
train,TRAIN_0011,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0011/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0011/front.png,False,copy,,
train,TRAIN_0011,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0011/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0011/top.png,False,copy,,
train,TRAIN_0012,front,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0012/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0012/front.png,False,copy,,
train,TRAIN_0012,top,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0012/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0012/top.png,False,copy,,
train,TRAIN_0013,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0013/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0013/front.png,False,copy,,
train,TRAIN_0013,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0013/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0013/top.png,False,copy,,
train,TRAIN_0014,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0014/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0014/front.png,False,copy,,
train,TRAIN_0014,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0014/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0014/top.png,False,copy,,
train,TRAIN_0015,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0015/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0015/front.png,False,copy,,
train,TRAIN_0015,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0015/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0015/top.png,False,copy,,
train,TRAIN_0016,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0016/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0016/front.png,False,copy,,
train,TRAIN_0016,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0016/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0016/top.png,False,copy,,
train,TRAIN_0017,front,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0017/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0017/front.png,False,copy,,
train,TRAIN_0017,top,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0017/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0017/top.png,False,copy,,
train,TRAIN_0018,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0018/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0018/front.png,False,copy,,
train,TRAIN_0018,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0018/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0018/top.png,False,copy,,
train,TRAIN_0019,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0019/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0019/front.png,False,copy,,
train,TRAIN_0019,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0019/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0019/top.png,False,copy,,
train,TRAIN_0020,front,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0020/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0020/front.png,False,copy,,
train,TRAIN_0020,top,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0020/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0020/top.png,False,copy,,
train,TRAIN_0021,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0021/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0021/front.png,False,copy,,
train,TRAIN_0021,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0021/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0021/top.png,False,copy,,
train,TRAIN_0022,front,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0022/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0022/front.png,False,copy,,
train,TRAIN_0022,top,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0022/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0022/top.png,False,copy,,
train,TRAIN_0023,front,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0023/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0023/front.png,False,copy,,
train,TRAIN_0023,top,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0023/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0023/top.png,False,copy,,
train,TRAIN_0024,front,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0024/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0024/front.png,False,copy,,
train,TRAIN_0024,top,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0024/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0024/top.png,False,copy,,
train,TRAIN_0025,front,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0025/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0025/front.png,False,copy,,
train,TRAIN_0025,top,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0025/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0025/top.png,False,copy,,
train,TRAIN_0026,front,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0026/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0026/front.png,False,copy,,
train,TRAIN_0026,top,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0026/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0026/top.png,False,copy,,
train,TRAIN_0027,front,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0027/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0027/front.png,False,copy,,
train,TRAIN_0027,top,stable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0027/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0027/top.png,False,copy,,
train,TRAIN_0028,front,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0028/front.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0028/front.png,False,copy,,
train,TRAIN_0028,top,unstable,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0028/top.png,/media/hdd0/whyz/structure-stability/outputs/preprocessed_camera/train/TRAIN_0028/top.png,False,copy,,
