task,model,auc,stage
dev_vs_test,logreg,0.44339999999999996,raw
dev_vs_test,rf,0.5405,raw
train_vs_dev,logreg,1.0,raw
train_vs_dev,rf,0.9995,raw
train_vs_test,logreg,1.0,raw
train_vs_test,rf,0.9994999999999999,raw
dev_vs_test,logreg,0.4212,step1
dev_vs_test,rf,0.48645,step1
train_vs_dev,logreg,1.0,step1
train_vs_dev,rf,1.0,step1
train_vs_test,logreg,0.9996999999999999,step1
train_vs_test,rf,1.0,step1
dev_vs_test,logreg,0.4655,step2
dev_vs_test,rf,0.5177999999999999,step2
train_vs_dev,logreg,0.9993,step2
train_vs_dev,rf,0.9991,step2
train_vs_test,logreg,1.0,step2
train_vs_test,rf,0.9994999999999999,step2
dev_vs_test,logreg,0.5253,step3
dev_vs_test,rf,0.5556999999999999,step3
train_vs_dev,logreg,0.9941,step3
train_vs_dev,rf,0.9955999999999999,step3
train_vs_test,logreg,0.9977,step3
train_vs_test,rf,0.9994999999999999,step3
dev_vs_test,logreg,0.548,step4
dev_vs_test,rf,0.53635,step4
train_vs_dev,logreg,0.9767999999999999,step4
train_vs_dev,rf,0.9901000000000001,step4
train_vs_test,logreg,0.989,step4
train_vs_test,rf,0.9910000000000001,step4
