model,feature,importance,rank
logreg,soft_target,4.148845744290324,1
logreg,onset_bucket,0.976430466605867,2
logreg,top_fill_ratio,0.8702597271200073,3
logreg,abs_delta_structure_center_x,0.8219202343199588,4
logreg,abs_delta_saturation_std,0.6795673877483785,5
logreg,front_centroid_dx,0.6356957480697564,6
logreg,abs_delta_checker_line_count,0.6315462810037562,7
logreg,mean_diff_prev,0.5901362534477765,8
logreg,top_noise_residual_std,0.5505325269618697,9
logreg,top_centroid_dx,0.5391662281842033,10
logreg,severity_bucket,0.5315803077045579,11
logreg,front_tilt,0.5069272223959298,12
logreg,abs_delta_saturation_mean,0.5004520293645041,13
logreg,delta_saturation_std,0.4805783960852927,14
logreg,mean_noise_residual_std,0.4802616878183279,15
logreg,top_centroid_dy,0.45715855073045736,16
logreg,top_edge_density,0.43317755903019656,17
logreg,top_area_frac,0.42527934424553443,18
logreg,front_fft_high_freq_ratio,0.4136548087298859,19
logreg,abs_delta_fft_high_freq_ratio,0.40937920421076657,20
logreg,top_brightness_std,0.40910778107730406,21
logreg,delta_laplacian_var,0.4028373746214243,22
logreg,abs_delta_laplacian_var,0.4028373746214243,22
logreg,top_structure_bbox_h,0.37689639562480487,23
logreg,front_vp_intersections,0.36606328428746326,24
logreg,abs_delta_std_r,0.35510206853398696,25
logreg,mean_structure_bbox_w,0.35304720815600243,26
logreg,mean_vp_intersections,0.3515207873908227,27
logreg,front_structure_bbox_w,0.35022042197315556,28
logreg,mean_structure_area_ratio,0.3500051859016546,29
logreg,top_std_b,0.3494268566957211,30
logreg,max_diff_first,0.34767458747758134,31
logreg,front_shadow_angle_deg,0.337293895454249,32
logreg,front_structure_area_ratio,0.33152138865657266,33
logreg,top_laplacian_var,0.32937551326527126,34
logreg,collapse_margin_proxy,0.3287666108573417,35
logreg,mean_checker_line_count,0.31710545168146365,36
logreg,delta_noise_residual_std,0.3140575610059178,37
logreg,abs_delta_noise_residual_std,0.3140575610059178,37
logreg,delta_structure_bbox_h,0.31190096349016583,38
logreg,mean_diff_first,0.30870709019497106,39
logreg,abs_delta_mean_g,0.3082036493417521,40
logreg,top_structure_area_ratio,0.3062434420875436,41
logreg,top_structure_bbox_w,0.30529640620854476,42
logreg,delta_edge_density,0.3008667900952472,43
logreg,abs_delta_edge_density,0.3008667900952472,43
logreg,mean_brightness_std,0.2971959533318054,44
logreg,mean_structure_center_x,0.29618378186307937,45
