,corr_with_target,abs_corr_with_target
soft_target,0.9916180503644126,0.9916180503644126
severity_bucket,0.7582962659852466,0.7582962659852466
mean_diff_prev,0.7181457284092769,0.7181457284092769
max_diff_first,0.6396887894778253,0.6396887894778253
mean_diff_first,0.6377757331919646,0.6377757331919646
max_diff_prev,0.6015121951960187,0.6015121951960187
first_move_thr5,0.5783221834247997,0.5783221834247997
front_shadow_angle_deg,-0.5006089697734064,0.5006089697734064
abs_delta_std_b,-0.49502018895381,0.49502018895381
delta_std_b,-0.4888182121501142,0.4888182121501142
abs_delta_brightness_std,-0.4823575821465879,0.4823575821465879
delta_brightness_std,-0.4760453942513688,0.4760453942513688
delta_structure_area_ratio,-0.4508238039363698,0.4508238039363698
top_fill_ratio,-0.4440447576500547,0.4440447576500547
abs_delta_hue_entropy,-0.4412862514210249,0.4412862514210249
abs_delta_structure_area_ratio,-0.4405835203478623,0.4405835203478623
delta_hue_entropy,-0.43941050074125765,0.43941050074125765
delta_noise_residual_std,-0.43776949735100584,0.43776949735100584
abs_delta_noise_residual_std,-0.43776949735100584,0.43776949735100584
abs_delta_std_g,-0.43248877243234485,0.43248877243234485
delta_std_g,-0.4323496337375767,0.4323496337375767
onset_bucket,-0.39432862597817897,0.39432862597817897
delta_std_r,-0.389699184222612,0.389699184222612
abs_delta_mean_b,-0.3890005678253455,0.3890005678253455
delta_mean_b,0.38841196292530505,0.38841196292530505
first_move_thr10,0.3749348147709347,0.3749348147709347
abs_delta_brightness_mean,-0.37453804342548735,0.37453804342548735
delta_brightness_mean,0.373482136700842,0.373482136700842
abs_delta_structure_center_x,0.3710778079768535,0.3710778079768535
abs_delta_structure_center_y,0.35527094707092977,0.35527094707092977
top_noise_residual_std,0.35336963690717393,0.35336963690717393
abs_delta_fft_high_freq_ratio,-0.3498616765615834,0.3498616765615834
delta_fft_high_freq_ratio,-0.34878527007886884,0.34878527007886884
abs_delta_mean_g,-0.3422599106523806,0.3422599106523806
top_laplacian_var,0.34219206008570835,0.34219206008570835
delta_mean_g,0.3419165074151009,0.3419165074151009
abs_delta_std_r,-0.32311967682527726,0.32311967682527726
top_edge_density,0.31075331422518565,0.31075331422518565
mean_structure_bbox_w,0.30413825614127343,0.30413825614127343
abs_delta_laplacian_var,-0.2988432314845543,0.2988432314845543
delta_laplacian_var,-0.2988432314845543,0.2988432314845543
abs_delta_saturation_std,0.29020287764136804,0.29020287764136804
delta_structure_bbox_h,-0.2900762951763441,0.2900762951763441
delta_mean_r,0.28998772699233194,0.28998772699233194
delta_saturation_std,-0.2891179379416186,0.2891179379416186
top_fft_high_freq_ratio,0.2890012053587437,0.2890012053587437
abs_delta_mean_r,-0.28848138177388294,0.28848138177388294
top_structure_bbox_w,0.28605251303224616,0.28605251303224616
